scan,scan_ns,pid,alias,anchor_rep,published_raw,d,y,v,a,member_age_s
219,3387290586431,1000004,36,5,5,9.184170722961426,-3.5625,-2.75,-2.2095200855192045,0.023937868
220,3387390197274,1000004,36,5,5,8.922103881835938,-3.40625,-2.5,-1.9498317100404803,0.031158636000000003
221,3387490666994,1000004,36,5,5,8.713086128234863,-3.40625,-2.5,-1.9944292719874808,0.01476562
222,3387590305543,1000004,36,5,5,8.215960502624512,-3.3125,-2.25,-1.6657043738604669,0.015128554
223,3387690602415,1000004,36,5,5,8.204075813293457,-3.3125,-2.25,-1.7235242767205845,0.020410654
224,3387792199214,1000004,36,5,5,7.9774556159973145,-3.1875,-1.75,-0.7434450695032162,0.012882415000000001
225,3387892468641,1000004,36,5,5,7.969027519226074,-3.15625,-1.5,-0.14479856438391292,0.020648338000000002
226,3387992263268,1000004,36,5,5,7.728479862213135,-3.15625,-1.5,-0.21434480179989035,0.01434665
227,3388089991323,1000004,36,5,5,7.718796730041504,-3.09375,-1.25,0.012842931948992775,0.024962458
228,3388190506247,1000004,36,5,5,7.716427326202393,-3.0625,-1.25,-0.19973135549263332,0.02685811
229,3388290219424,1000004,36,5,5,7.485409736633301,-2.59375,-1.0,0.13967876335923407,0.014590168
230,3388390174922,1000004,36,5,5,7.488009929656982,-2.25,-0.75,0.5379722716077466,0.015986597
231,3388490887483,1000004,36,5,5,7.488047122955322,-2.03125,-0.5,0.790553559982367,0.023905632000000003
232,3388590179399,1000004,36,5,5,7.491993427276611,-1.90625,-0.5,0.6422594968073161,0.016013104
233,3388690759420,1000004,36,5,5,7.238035202026367,-1.875,-0.5,0.27433112776091284,0.023929692000000002
234,3388790105081,1000004,36,5,5,7.241824626922607,-1.8125,-0.5,0.06651729719520533,0.016350364000000003
235,3388890581987,1000004,36,5,5,7.2462239265441895,-1.59375,-0.25,0.4406959981729564,0.015104806
236,3388990348389,1000004,36,5,5,7.2461981773376465,-1.53125,-0.25,0.47466783949890257,0.015207192000000001
237,3389090631459,1000004,36,5,5,7.246316909790039,-1.53125,-0.25,0.3467585899288004,0.01473229
238,3389190338856,1000004,36,5,5,7.246131420135498,-1.53125,-0.25,0.2363893703764645,0.015474719000000001
239,3389290680984,1000004,36,5,5,6.992032527923584,-1.34375,-0.25,0.12299000180182894,0.031870443000000005
240,3389392409125,1000004,36,5,5,7.0,-1.3125,0.0,0.5959722105665625,0.013338256000000001
241,3389492486122,1000004,36,5,5,7.0,-1.28125,0.0,0.5744219428014196,0.023089095
242,3389591721168,1000004,36,5,5,6.75,-1.28125,0.0,0.4519356941264382,0.014524913
243,3389690149624,1000004,36,5,5,6.75,-1.21875,0.0,0.3220751169675416,0.025471732
244,3389789954616,1000004,36,5,5,6.754436016082764,-1.1875,0.25,0.7202430842625083,0.017743876000000002
245,3389890269194,1000004,36,5,5,6.7564849853515625,-1.15625,0.25,0.6551213285457627,0.025939343
246,3389990886972,1000004,36,5,5,6.762333869934082,-1.0625,0.5,1.0101335829397593,0.024667747
247,3390090287002,1000004,36,5,5,6.762430191040039,-1.0,0.5,0.9020018705649386,0.024860280000000002
248,3390189829050,1000004,36,5,5,6.762722015380859,-0.9375,0.5,0.6556727554445851,0.025444391
249,3390289963750,1000004,36,5,5,6.7689619064331055,-0.90625,0.75,0.9866921736769791,0.025282687
250,3390389949610,1000004,36,5,5,7.012229919433594,-0.875,0.75,0.8650732912179473,0.016306514
251,3390490265073,1000004,36,5,5,7.018928050994873,-0.78125,0.75,0.6562634284417266,0.025237536
