event_id,key,route,segment,split_scan,split_ns,parent_pid,parent_alias,parent_published_before,published_child_count,published_child_pids,publication_gap,new_public_point,alias_change,representative_change,external_visible,internal_only
00000245--2c15eb5d45--21:286:1000296:291|292,00000245--2c15eb5d45--21,00000245,21,286,1344499343669,1000296,78,1,2,1000296|1000302,0,1,0,0,1,0
00000245--2c15eb5d45--21:290:1000302:292|297,00000245--2c15eb5d45--21,00000245,21,290,1344899375266,1000302,71,1,2,1000296|1000302,0,1,0,0,1,0
00000245--2c15eb5d45--21:291:1000304:299|304,00000245--2c15eb5d45--21,00000245,21,291,1344999426005,1000304,46,1,2,1000304|1000314,0,1,0,0,1,0
00000245--2c15eb5d45--21:294:1000315:310|312,00000245--2c15eb5d45--21,00000245,21,294,1345298794142,1000315,42,1,2,1000315|1000332,0,1,0,0,1,0
00000245--2c15eb5d45--21:297:1000304:299|316,00000245--2c15eb5d45--21,00000245,21,297,1345599525947,1000304,46,1,2,1000304|1000336,0,1,0,0,1,0
00000245--2c15eb5d45--21:297:1000325:320|323,00000245--2c15eb5d45--21,00000245,21,297,1345599525947,1000325,48,1,2,1000325|1000334,0,1,0,0,1,0
00000245--2c15eb5d45--21:300:1000337:329|331,00000245--2c15eb5d45--21,00000245,21,300,1345890412551,1000337,91,1,2,1000337|1000338,0,1,0,0,1,0
00000245--2c15eb5d45--21:302:1000338:330|331,00000245--2c15eb5d45--21,00000245,21,302,1346100105038,1000338,32,1,2,1000338|1000342,0,1,0,1,1,0
00000245--2c15eb5d45--21:303:1000315:310|312,00000245--2c15eb5d45--21,00000245,21,303,1346199125459,1000315,42,1,2,1000315|1000346,0,1,0,0,1,0
00000245--2c15eb5d45--21:306:1000311:306|325,00000245--2c15eb5d45--21,00000245,21,306,1346498660761,1000311,51,1,2,1000311|1000315,0,1,0,1,1,0
00000245--2c15eb5d45--21:306:1000334:320|327,00000245--2c15eb5d45--21,00000245,21,306,1346498660761,1000334,49,1,2,1000334|1000351,0,1,0,0,1,0
00000245--2c15eb5d45--21:307:1000330:324|326,00000245--2c15eb5d45--21,00000245,21,307,1346599479151,1000330,61,1,2,1000330|1000343,0,1,0,0,1,0
00000245--2c15eb5d45--21:307:1000342:330|334,00000245--2c15eb5d45--21,00000245,21,307,1346599479151,1000342,63,1,2,1000342|1000348,0,1,0,1,1,0
00000245--2c15eb5d45--21:311:1000348:334|338,00000245--2c15eb5d45--21,00000245,21,311,1346998969926,1000348,69,1,2,1000342|1000350,0,1,0,0,1,0
00000245--2c15eb5d45--21:312:1000337:329|331,00000245--2c15eb5d45--21,00000245,21,312,1347099028352,1000337,91,1,2,1000337|1000360,0,1,0,0,1,0
00000245--2c15eb5d45--21:312:1000355:344|347,00000245--2c15eb5d45--21,00000245,21,312,1347099028352,1000355,59,1,2,1000355|1000357,0,1,0,0,1,0
00000245--2c15eb5d45--21:314:1000349:339|345,00000245--2c15eb5d45--21,00000245,21,314,1347299069006,1000349,35,1,2,1000349|1000355,0,1,0,0,1,0
00000245--2c15eb5d45--21:317:1000340:332|341,00000245--2c15eb5d45--21,00000245,21,317,1347600476597,1000340,33,1,2,1000340|1000365,0,1,0,0,1,0
00000245--2c15eb5d45--21:317:1000342:330|334,00000245--2c15eb5d45--21,00000245,21,317,1347600476597,1000342,63,1,2,1000342|1000360,0,1,0,1,1,0
00000245--2c15eb5d45--21:318:1000350:338|340,00000245--2c15eb5d45--21,00000245,21,318,1347700480560,1000350,54,1,2,1000340|1000350,0,1,0,0,1,0
00000245--2c15eb5d45--21:322:1000343:324|335,00000245--2c15eb5d45--21,00000245,21,322,1348099124976,1000343,90,1,2,1000337|1000343,0,1,0,0,1,0
00000245--2c15eb5d45--21:324:1000343:324|326,00000245--2c15eb5d45--21,00000245,21,324,1348298805916,1000343,90,1,2,1000343|1000377,0,1,0,0,1,0
00000245--2c15eb5d45--21:326:1000340:332|340,00000245--2c15eb5d45--21,00000245,21,326,1348499548679,1000340,33,1,2,1000340|1000365,0,1,0,0,1,0
