key,policy,pid,pattern,start_scan,end_scan,duration_s,stable_members
00000247--b657952782--7,P0,1000168,A_B_A,168,170,0.19977212800000002,1
00000247--b657952782--7,P0,1000168,A_B_A,169,172,0.300024505,1
00000247--b657952782--7,P0,1000168,A_B_A,208,210,0.19855961000000003,1
00000247--b657952782--7,P0,1000168,A_B_A,209,215,0.599212776,1
00000247--b657952782--7,P0,1000168,A_B_A,214,232,1.8006225830000002,1
00000247--b657952782--7,P0,1000168,A_B_A,231,235,0.399891361,1
00000252--d191bee66c--0,P0,1000058,A_B_A,351,359,0.799475083,1
00000254--0ac259250e--10,P0,1000273,A_B_A,462,464,0.19992077600000002,1
00000254--0ac259250e--10,P0,1000273,A_B_A,463,465,0.200387635,1
00000254--0ac259250e--10,P0,1000273,A_B_A,464,469,0.500188537,1
00000254--0ac259250e--11,P0,1000007,A_B_A,48,50,0.19998220700000002,1
00000254--0ac259250e--11,P0,1000150,A_B_A,90,92,0.197495986,1
00000254--0ac259250e--12,P0,1000202,A_B_A,140,143,0.29935584600000004,1
00000254--0ac259250e--12,P0,1000202,A_B_A,142,144,0.199753495,1
00000254--0ac259250e--12,P0,1000233,A_B_A,194,197,0.299878551,1
00000254--0ac259250e--14,P0,1000292,A_B_A,515,518,0.299645274,1
