case,route,segment,scan_s,scan_ns,raw_slot,raw_track_id,physical_pid,public_id,d_rel_m,y_rel_m,v_rel_mps,members,representative,camera_assoc,oem_word1,published,state,prior_gt
R264_S6_SPLIT,route264,6,6.802302,439764186183,0|12,1|32,1000037,69,2.25,0.125,0.0,1|32,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,6.900281,439862165075,17|18|26,9|25|36,1000000,32,5.5,-0.03125,0.0,9|25|36,9,1,0,0,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,6.900281,439862165075,0|12,1|32,1000037,69,2.25,0.125,0.0,1|32,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,7.000478,439962361413,17|18|26,9|25|36,1000000,32,5.5,-0.03125,0.0,9|25|36,9,1,0,0,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,7.000478,439962361413,0|12,1|32,1000037,69,2.25,0.15625,0.0,1|32,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,7.10007,440061953344,17|18|26,9|25|36,1000000,32,5.5,-0.03125,0.0,9|25|36,9,1,0,0,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,7.10007,440061953344,0|12,1|32,1000037,69,2.25,0.15625,0.0,1|32,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,7.199738,440161622116,17|18|26,9|25|36,1000000,32,5.5,-0.03125,0.0,9|25|36,9,1,0,0,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,7.199738,440161622116,0|12,1|32,1000037,69,2.25,0.15625,0.0,1|32,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R28F_S32_TRUCK,route28f,32,51.590502,6573570001552,17,499,1000539,89,79.75,-1.4375,-13.0,499,499,0,0,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R28F_S32_TRUCK,route28f,32,51.590502,6573570001552,18,500,1000540,82,78.25,-1.21875,-13.0,500,500,0,0,0,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R28F_S32_TRUCK,route28f,32,51.689003,6573668502907,17,499,1000539,89,78.25,-1.5,-13.0,499,499,0,0,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R28F_S32_TRUCK,route28f,32,51.689003,6573668502907,18,500,1000540,82,77.25,-1.34375,-13.0,500,500,0,0,0,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R28F_S32_TRUCK,route28f,32,51.78949,6573768989688,17|18,499|500,1000539,89,76.75,-1.5625,-13.25,499|500,499,0,0,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R28F_S32_TRUCK,route28f,32,51.889192,6573868691192,17|18,499|500,1000539,89,75.5,-1.8125,-13.0,499|500,499,0,0,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R28F_S32_TRUCK,route28f,32,51.989458,6573968957556,18,500,1000539,89,73.25,-2.0,-13.0,500,500,0,0,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R28F_S32_TRUCK,route28f,32,52.089136,6574068636018,,,1000539,,,,,499|500,500,,,0,INTERNAL_ONLY,SAME_SURFACE_FRAGMENT
R28F_S32_TRUCK,route28f,32,52.189958,6574169457595,,,1000539,,,,,500,500,,,0,INTERNAL_ONLY,SAME_SURFACE_FRAGMENT
R259_S2_HARD_NEGATIVE,route259,2,21.819634,214099239863,7|8,5|59,1000004,36,15.5,-6.90625,0.0,5|59,5,0,0,1,OBSERVED_QUALIFIED,DIFFERENT_OTHER
R259_S2_HARD_NEGATIVE,route259,2,21.922289,214201894683,7|8,5|59,1000004,36,15.5,-6.90625,0.0,5|59,5,0,0,1,OBSERVED_QUALIFIED,DIFFERENT_OTHER
R259_S2_HARD_NEGATIVE,route259,2,22.020107,214299712596,7|8,5|59,1000004,36,15.5,-6.90625,0.0,5|59,5,0,0,1,OBSERVED_QUALIFIED,DIFFERENT_OTHER
R259_S2_HARD_NEGATIVE,route259,2,22.129583,214409188729,7|8,5|59,1000004,36,15.5,-6.90625,0.0,5|59,5,0,0,1,OBSERVED_QUALIFIED,DIFFERENT_OTHER
