key,policy,scan,scan_ns,effect,baseline_lead1,candidate_lead1,baseline_lead2,candidate_lead2
00000252--d191bee66c--1,E,450,179348301485,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,451,179448278903,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,452,179547849825,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,453,179648626906,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,454,179748561676,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,455,179847934140,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,456,179948925353,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,457,180047990159,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,458,180148181866,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,459,180250001048,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,460,180351200678,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,461,180448448117,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,462,180547934213,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,463,180648234088,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,464,180748847195,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,465,180848055002,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,466,180947920987,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,467,181047835454,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,468,181148280514,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,469,181248366176,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,470,181348283085,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,471,181447786881,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,472,181547984060,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,473,181647762397,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,474,181749622653,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,475,181848882476,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,476,181948434129,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,477,182048163046,LEAD_ID_CHANGED,87,36,-1,-1
